source,destination,avg_distance,weekday,hour,icon,predict
North End,Beacon Hill,1.894545455,Monday,16,cloudy,1
North End,Beacon Hill,1.894545455,Monday,17,fog,1
North End,Beacon Hill,1.894545455,Monday,17,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Monday,17,clear-day,1
North End,Beacon Hill,1.894545455,Monday,17,rain,1
North End,Beacon Hill,1.894545455,Monday,17,cloudy,1
North End,Beacon Hill,1.894545455,Monday,18,fog,1
North End,Beacon Hill,1.894545455,Monday,18,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Monday,18,clear-day,1
North End,Beacon Hill,1.894545455,Monday,18,rain,1
North End,Beacon Hill,1.894545455,Monday,18,cloudy,1
North End,Beacon Hill,1.894545455,Monday,19,fog,1
North End,Beacon Hill,1.894545455,Monday,19,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Monday,19,clear-day,1
North End,Beacon Hill,1.894545455,Monday,19,rain,1
North End,Beacon Hill,1.894545455,Monday,19,cloudy,1
North End,Beacon Hill,1.894545455,Monday,20,fog,1
North End,Beacon Hill,1.894545455,Monday,20,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Monday,20,clear-day,1
North End,Beacon Hill,1.894545455,Monday,20,rain,1
North End,Beacon Hill,1.894545455,Monday,20,cloudy,1
North End,Beacon Hill,1.894545455,Monday,21,fog,1
North End,Beacon Hill,1.894545455,Monday,21,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Monday,21,clear-day,1
North End,Beacon Hill,1.894545455,Monday,21,rain,1
North End,Beacon Hill,1.894545455,Monday,21,cloudy,1
North End,Beacon Hill,1.894545455,Monday,22,fog,1
North End,Beacon Hill,1.894545455,Monday,22,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Monday,22,clear-day,1
North End,Beacon Hill,1.894545455,Monday,22,rain,1
North End,Beacon Hill,1.894545455,Monday,22,cloudy,1
North End,Beacon Hill,1.894545455,Monday,23,fog,1
North End,Beacon Hill,1.894545455,Monday,23,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Monday,23,clear-day,1
North End,Beacon Hill,1.894545455,Monday,23,rain,1
North End,Beacon Hill,1.894545455,Monday,23,cloudy,1
North End,Beacon Hill,1.894545455,Tuesday,0,fog,1
North End,Beacon Hill,1.894545455,Tuesday,0,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Tuesday,0,clear-day,1
North End,Beacon Hill,1.894545455,Tuesday,0,rain,1
North End,Beacon Hill,1.894545455,Tuesday,0,cloudy,1
North End,Beacon Hill,1.894545455,Tuesday,1,fog,1
North End,Beacon Hill,1.894545455,Tuesday,1,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Tuesday,1,clear-day,2
North End,Beacon Hill,1.894545455,Tuesday,1,rain,1
North End,Beacon Hill,1.894545455,Tuesday,1,cloudy,1
North End,Beacon Hill,1.894545455,Tuesday,2,fog,3
North End,Beacon Hill,1.894545455,Tuesday,2,partly-cloudy-day,2
North End,Beacon Hill,1.894545455,Tuesday,2,clear-day,2
North End,Beacon Hill,1.894545455,Tuesday,2,rain,2
North End,Beacon Hill,1.894545455,Tuesday,2,cloudy,1
North End,Beacon Hill,1.894545455,Tuesday,3,fog,1
North End,Beacon Hill,1.894545455,Tuesday,3,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Tuesday,3,clear-day,2
North End,Beacon Hill,1.894545455,Tuesday,3,rain,2
North End,Beacon Hill,1.894545455,Tuesday,3,cloudy,1
North End,Beacon Hill,1.894545455,Tuesday,4,fog,3
North End,Beacon Hill,1.894545455,Tuesday,4,partly-cloudy-day,2
North End,Beacon Hill,1.894545455,Tuesday,4,clear-day,1
North End,Beacon Hill,1.894545455,Tuesday,4,rain,1
North End,Beacon Hill,1.894545455,Tuesday,4,cloudy,2
North End,Beacon Hill,1.894545455,Tuesday,5,fog,1
North End,Beacon Hill,1.894545455,Tuesday,5,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Tuesday,5,clear-day,1
North End,Beacon Hill,1.894545455,Tuesday,5,rain,1
North End,Beacon Hill,1.894545455,Tuesday,5,cloudy,2
North End,Beacon Hill,1.894545455,Tuesday,6,fog,1
North End,Beacon Hill,1.894545455,Tuesday,6,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Tuesday,6,clear-day,1
North End,Beacon Hill,1.894545455,Tuesday,6,rain,1
North End,Beacon Hill,1.894545455,Tuesday,6,cloudy,3
North End,Beacon Hill,1.894545455,Tuesday,7,fog,1
North End,Beacon Hill,1.894545455,Tuesday,7,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Tuesday,7,clear-day,1
North End,Beacon Hill,1.894545455,Tuesday,7,rain,1
North End,Beacon Hill,1.894545455,Tuesday,7,cloudy,3
North End,Beacon Hill,1.894545455,Tuesday,8,fog,1
North End,Beacon Hill,1.894545455,Tuesday,8,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Tuesday,8,clear-day,1
North End,Beacon Hill,1.894545455,Tuesday,8,rain,1
North End,Beacon Hill,1.894545455,Tuesday,8,cloudy,3
North End,Beacon Hill,1.894545455,Tuesday,9,fog,1
North End,Beacon Hill,1.894545455,Tuesday,9,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Tuesday,9,clear-day,1
North End,Beacon Hill,1.894545455,Tuesday,9,rain,1
North End,Beacon Hill,1.894545455,Tuesday,9,cloudy,3
North End,Beacon Hill,1.894545455,Tuesday,10,fog,1
North End,Beacon Hill,1.894545455,Tuesday,10,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Tuesday,10,clear-day,1
North End,Beacon Hill,1.894545455,Tuesday,10,rain,1
North End,Beacon Hill,1.894545455,Tuesday,10,cloudy,3
North End,Beacon Hill,1.894545455,Tuesday,11,fog,1
North End,Beacon Hill,1.894545455,Tuesday,11,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Tuesday,11,clear-day,1
North End,Beacon Hill,1.894545455,Tuesday,11,rain,1
North End,Beacon Hill,1.894545455,Tuesday,11,cloudy,3
North End,Beacon Hill,1.894545455,Tuesday,12,fog,1
North End,Beacon Hill,1.894545455,Tuesday,12,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Tuesday,12,clear-day,1
North End,Beacon Hill,1.894545455,Tuesday,12,rain,1
North End,Beacon Hill,1.894545455,Tuesday,12,cloudy,3
North End,Beacon Hill,1.894545455,Tuesday,13,fog,1
North End,Beacon Hill,1.894545455,Tuesday,13,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Tuesday,13,clear-day,1
North End,Beacon Hill,1.894545455,Tuesday,13,rain,1
North End,Beacon Hill,1.894545455,Tuesday,13,cloudy,3
North End,Beacon Hill,1.894545455,Tuesday,14,fog,1
North End,Beacon Hill,1.894545455,Tuesday,14,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Tuesday,14,clear-day,1
North End,Beacon Hill,1.894545455,Tuesday,14,rain,1
North End,Beacon Hill,1.894545455,Tuesday,14,cloudy,3
North End,Beacon Hill,1.894545455,Tuesday,15,fog,1
North End,Beacon Hill,1.894545455,Tuesday,15,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Tuesday,15,clear-day,1
North End,Beacon Hill,1.894545455,Tuesday,15,rain,1
North End,Beacon Hill,1.894545455,Tuesday,15,cloudy,3
North End,Beacon Hill,1.894545455,Tuesday,16,fog,1
North End,Beacon Hill,1.894545455,Tuesday,16,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Tuesday,16,clear-day,1
North End,Beacon Hill,1.894545455,Tuesday,16,rain,1
North End,Beacon Hill,1.894545455,Tuesday,16,cloudy,3
North End,Beacon Hill,1.894545455,Tuesday,17,fog,1
North End,Beacon Hill,1.894545455,Tuesday,17,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Tuesday,17,clear-day,1
North End,Beacon Hill,1.894545455,Tuesday,17,rain,1
North End,Beacon Hill,1.894545455,Tuesday,17,cloudy,3
North End,Beacon Hill,1.894545455,Tuesday,18,fog,1
North End,Beacon Hill,1.894545455,Tuesday,18,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Tuesday,18,clear-day,1
North End,Beacon Hill,1.894545455,Tuesday,18,rain,1
North End,Beacon Hill,1.894545455,Tuesday,18,cloudy,3
North End,Beacon Hill,1.894545455,Tuesday,19,fog,1
North End,Beacon Hill,1.894545455,Tuesday,19,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Tuesday,19,clear-day,1
North End,Beacon Hill,1.894545455,Tuesday,19,rain,1
North End,Beacon Hill,1.894545455,Tuesday,19,cloudy,3
North End,Beacon Hill,1.894545455,Tuesday,20,fog,1
North End,Beacon Hill,1.894545455,Tuesday,20,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Tuesday,20,clear-day,1
North End,Beacon Hill,1.894545455,Tuesday,20,rain,1
North End,Beacon Hill,1.894545455,Tuesday,20,cloudy,3
North End,Beacon Hill,1.894545455,Tuesday,21,fog,1
North End,Beacon Hill,1.894545455,Tuesday,21,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Tuesday,21,clear-day,1
North End,Beacon Hill,1.894545455,Tuesday,21,rain,1
North End,Beacon Hill,1.894545455,Tuesday,21,cloudy,3
North End,Beacon Hill,1.894545455,Tuesday,22,fog,1
North End,Beacon Hill,1.894545455,Tuesday,22,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Tuesday,22,clear-day,1
North End,Beacon Hill,1.894545455,Tuesday,22,rain,1
North End,Beacon Hill,1.894545455,Tuesday,22,cloudy,3
North End,Beacon Hill,1.894545455,Tuesday,23,fog,1
North End,Beacon Hill,1.894545455,Tuesday,23,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Tuesday,23,clear-day,1
North End,Beacon Hill,1.894545455,Tuesday,23,rain,1
North End,Beacon Hill,1.894545455,Tuesday,23,cloudy,3
North End,Beacon Hill,1.894545455,Wednesday,0,fog,1
North End,Beacon Hill,1.894545455,Wednesday,0,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Wednesday,0,clear-day,1
North End,Beacon Hill,1.894545455,Wednesday,0,rain,1
North End,Beacon Hill,1.894545455,Wednesday,0,cloudy,1
North End,Beacon Hill,1.894545455,Wednesday,1,fog,1
North End,Beacon Hill,1.894545455,Wednesday,1,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Wednesday,1,clear-day,2
North End,Beacon Hill,1.894545455,Wednesday,1,rain,1
North End,Beacon Hill,1.894545455,Wednesday,1,cloudy,1
North End,Beacon Hill,1.894545455,Wednesday,2,fog,1
North End,Beacon Hill,1.894545455,Wednesday,2,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Wednesday,2,clear-day,2
North End,Beacon Hill,1.894545455,Wednesday,2,rain,1
North End,Beacon Hill,1.894545455,Wednesday,2,cloudy,1
North End,Beacon Hill,1.894545455,Wednesday,3,fog,1
North End,Beacon Hill,1.894545455,Wednesday,3,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Wednesday,3,clear-day,2
North End,Beacon Hill,1.894545455,Wednesday,3,rain,1
North End,Beacon Hill,1.894545455,Wednesday,3,cloudy,1
North End,Beacon Hill,1.894545455,Wednesday,4,fog,1
North End,Beacon Hill,1.894545455,Wednesday,4,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Wednesday,4,clear-day,1
North End,Beacon Hill,1.894545455,Wednesday,4,rain,1
North End,Beacon Hill,1.894545455,Wednesday,4,cloudy,1
North End,Beacon Hill,1.894545455,Wednesday,5,fog,1
North End,Beacon Hill,1.894545455,Wednesday,5,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Wednesday,5,clear-day,3
North End,Beacon Hill,1.894545455,Wednesday,5,rain,1
North End,Beacon Hill,1.894545455,Wednesday,5,cloudy,1
North End,Beacon Hill,1.894545455,Wednesday,6,fog,1
North End,Beacon Hill,1.894545455,Wednesday,6,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Wednesday,6,clear-day,3
North End,Beacon Hill,1.894545455,Wednesday,6,rain,1
North End,Beacon Hill,1.894545455,Wednesday,6,cloudy,1
North End,Beacon Hill,1.894545455,Wednesday,7,fog,1
North End,Beacon Hill,1.894545455,Wednesday,7,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Wednesday,7,clear-day,3
North End,Beacon Hill,1.894545455,Wednesday,7,rain,1
North End,Beacon Hill,1.894545455,Wednesday,7,cloudy,1
North End,Beacon Hill,1.894545455,Wednesday,8,fog,1
North End,Beacon Hill,1.894545455,Wednesday,8,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Wednesday,8,clear-day,3
North End,Beacon Hill,1.894545455,Wednesday,8,rain,1
North End,Beacon Hill,1.894545455,Wednesday,8,cloudy,1
North End,Beacon Hill,1.894545455,Wednesday,9,fog,1
North End,Beacon Hill,1.894545455,Wednesday,9,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Wednesday,9,clear-day,3
North End,Beacon Hill,1.894545455,Wednesday,9,rain,1
North End,Beacon Hill,1.894545455,Wednesday,9,cloudy,1
North End,Beacon Hill,1.894545455,Wednesday,10,fog,1
North End,Beacon Hill,1.894545455,Wednesday,10,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Wednesday,10,clear-day,3
North End,Beacon Hill,1.894545455,Wednesday,10,rain,1
North End,Beacon Hill,1.894545455,Wednesday,10,cloudy,1
North End,Beacon Hill,1.894545455,Wednesday,11,fog,1
North End,Beacon Hill,1.894545455,Wednesday,11,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Wednesday,11,clear-day,3
North End,Beacon Hill,1.894545455,Wednesday,11,rain,1
North End,Beacon Hill,1.894545455,Wednesday,11,cloudy,1
North End,Beacon Hill,1.894545455,Wednesday,12,fog,1
North End,Beacon Hill,1.894545455,Wednesday,12,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Wednesday,12,clear-day,3
North End,Beacon Hill,1.894545455,Wednesday,12,rain,1
North End,Beacon Hill,1.894545455,Wednesday,12,cloudy,1
North End,Beacon Hill,1.894545455,Wednesday,13,fog,1
North End,Beacon Hill,1.894545455,Wednesday,13,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Wednesday,13,clear-day,3
North End,Beacon Hill,1.894545455,Wednesday,13,rain,1
North End,Beacon Hill,1.894545455,Wednesday,13,cloudy,1
North End,Beacon Hill,1.894545455,Wednesday,14,fog,1
North End,Beacon Hill,1.894545455,Wednesday,14,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Wednesday,14,clear-day,3
North End,Beacon Hill,1.894545455,Wednesday,14,rain,1
North End,Beacon Hill,1.894545455,Wednesday,14,cloudy,1
North End,Beacon Hill,1.894545455,Wednesday,15,fog,1
North End,Beacon Hill,1.894545455,Wednesday,15,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Wednesday,15,clear-day,3
North End,Beacon Hill,1.894545455,Wednesday,15,rain,1
North End,Beacon Hill,1.894545455,Wednesday,15,cloudy,1
North End,Beacon Hill,1.894545455,Wednesday,16,fog,1
North End,Beacon Hill,1.894545455,Wednesday,16,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Wednesday,16,clear-day,3
North End,Beacon Hill,1.894545455,Wednesday,16,rain,1
North End,Beacon Hill,1.894545455,Wednesday,16,cloudy,1
North End,Beacon Hill,1.894545455,Wednesday,17,fog,1
North End,Beacon Hill,1.894545455,Wednesday,17,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Wednesday,17,clear-day,3
North End,Beacon Hill,1.894545455,Wednesday,17,rain,1
North End,Beacon Hill,1.894545455,Wednesday,17,cloudy,1
North End,Beacon Hill,1.894545455,Wednesday,18,fog,1
North End,Beacon Hill,1.894545455,Wednesday,18,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Wednesday,18,clear-day,3
North End,Beacon Hill,1.894545455,Wednesday,18,rain,1
North End,Beacon Hill,1.894545455,Wednesday,18,cloudy,1
North End,Beacon Hill,1.894545455,Wednesday,19,fog,1
North End,Beacon Hill,1.894545455,Wednesday,19,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Wednesday,19,clear-day,3
North End,Beacon Hill,1.894545455,Wednesday,19,rain,1
North End,Beacon Hill,1.894545455,Wednesday,19,cloudy,1
North End,Beacon Hill,1.894545455,Wednesday,20,fog,1
North End,Beacon Hill,1.894545455,Wednesday,20,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Wednesday,20,clear-day,3
North End,Beacon Hill,1.894545455,Wednesday,20,rain,1
North End,Beacon Hill,1.894545455,Wednesday,20,cloudy,1
North End,Beacon Hill,1.894545455,Wednesday,21,fog,1
North End,Beacon Hill,1.894545455,Wednesday,21,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Wednesday,21,clear-day,3
North End,Beacon Hill,1.894545455,Wednesday,21,rain,1
North End,Beacon Hill,1.894545455,Wednesday,21,cloudy,1
North End,Beacon Hill,1.894545455,Wednesday,22,fog,1
North End,Beacon Hill,1.894545455,Wednesday,22,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Wednesday,22,clear-day,3
North End,Beacon Hill,1.894545455,Wednesday,22,rain,1
North End,Beacon Hill,1.894545455,Wednesday,22,cloudy,1
North End,Beacon Hill,1.894545455,Wednesday,23,fog,1
North End,Beacon Hill,1.894545455,Wednesday,23,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Wednesday,23,clear-day,3
North End,Beacon Hill,1.894545455,Wednesday,23,rain,1
North End,Beacon Hill,1.894545455,Wednesday,23,cloudy,1
North End,Beacon Hill,1.894545455,Thursday,0,fog,1
North End,Beacon Hill,1.894545455,Thursday,0,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Thursday,0,clear-day,1
North End,Beacon Hill,1.894545455,Thursday,0,rain,1
North End,Beacon Hill,1.894545455,Thursday,0,cloudy,1
North End,Beacon Hill,1.894545455,Thursday,1,fog,1
North End,Beacon Hill,1.894545455,Thursday,1,partly-cloudy-day,1
North End,Beacon Hill,1.894545455,Thursday,1,clear-day,1
